نقش رنگ,مقدار قبلی,مقدار جدید,کاربرد
جوهر سوخته,#12345B,#4A2C17,هدر و سایدبار و دکمه‌های اصلی
قهوه‌ای سوخته,#2E5E8C,#8B5A2B,دکمه ثانویه و لینک
قهوه‌ای روشن,#3a6fa3,#A67C52,هاور دکمه‌ها
کرم عمیق,#E8EEF5,#EFE6D6,زمینه کارت و جدول
کرم بوم,#F2F4F7,#F7F1E8,پس‌زمینه صفحه
قهوه‌ای تیره,#0d2744,#3B2114,متن و حاشیه سایدبار
حاشیه کرم,,#E8D9C4,بردر کارت‌ها
طلایی کرمی,#896B17,#C4A574,تاکید ملایم
نام سامانه,,سامانه اشتراک‌گذاری فایل شبکه کانون‌های تفکر ایران «ایتان»,عنوان سامانه
حقوق,,تمامی حقوق محفوظ است ©️ شبکه کانون‌های تفکر ایران«ایتان»,پاورقی
