وضعیت پروژه — سامانه مدیریت فایل,,,,,,,
مرجع لحظه‌ای پیشرفت حوزه‌های پروژه؛ با تغییر وضعیت تسک‌ها و خروجی‌ها به‌روزرسانی شود.,,,,,,,
,,,,,,,
تعداد کل تسک‌ها,تکمیل‌شده,در حال انجام,در انتظار شروع,,,,
30,0,1,29,,,,
,,,,,,,
,,,,,,,
حوزه,وضعیت فعلی,مالک,درصد پیشرفت,آخرین به‌روزرسانی,گام بعد,مانع / ریسک,یادداشت
تعریف دامنه,در حال انجام,کارفرما + مجری,15%,۲۰ مرداد ۱۴۰۵,تأیید نیازمندی‌ها و موارد خارج از محدوده,تصمیم‌گیری درباره نقش‌ها و سقف فایل,نسخه نخست بر مدیریت فایل و دسترسی متمرکز است.
رابط کاربری و تجربه کاربر,در انتظار شروع,مجری,0%,—,طراحی صفحات ورود، فایل‌ها و پنل مدیریت,نیاز به لوگوی اصلی و تأیید نام برند,پالت موقت با سرمه‌ای و سفید تعریف شده است.
بک‌اند و API,در انتظار شروع,مجری,0%,—,تعریف مدل کاربران، گروه‌ها، فایل‌ها و رویدادها,تأیید فهرست فرمت‌های مجاز,FastAPI / PostgreSQL به‌عنوان پیشنهاد اولیه ثبت شده است.
احراز هویت و دسترسی,در انتظار شروع,مجری,0%,—,پیاده‌سازی نقش‌ها و مجوزهای فایل,نیاز به تصمیم درباره SSO یا ورود محلی,SSO در نسخه نخست خارج از محدوده پیش‌فرض است.
ذخیره‌سازی و پشتیبان‌گیری,در انتظار شروع,کارفرما + مجری,0%,—,انتخاب ظرفیت و محل پشتیبان,تأمین سرور و فضای ذخیره,پیشنهاد: ذخیره روی سرور به همراه نسخه پشتیبان جداگانه.
زیرساخت و استقرار,در انتظار شروع,کارفرما + مجری,0%,—,تأمین دامنه و سرور؛ تنظیم HTTPS,اطلاعات دامنه و سرور,هزینه سرویس‌ها خارج از مبلغ توسعه است.
آزمون و پذیرش,در انتظار شروع,کارفرما + مجری,0%,—,اجرای سناریوهای AC-01 تا AC-08,داده آزمایشی و نماینده پذیرش,نتایج در همین شیت ثبت و پیگیری می‌شوند.
مستندات و تحویل,در انتظار شروع,مجری,0%,—,راهنمای مدیر، استقرار و بازیابی,ساختار پوشه پروژه,راهنمای فایل پس از هر تغییر باید به‌روز شود.
