راهنمای فایل,,,
این فهرست پس از هر تغییر در پروژه به‌روزرسانی می‌شود تا محل و کارکرد هر دارایی مشخص بماند.,,,
مسیر فایل,نوع فایل,لایه / دسته,خلاصه عملکرد
/README.md,Markdown,راهنما,معرفی پروژه، پیش‌نیازها و روش اجرای محلی.
/docs/requirements.md,Markdown,مستندات محصول,نیازمندی‌های تأییدشده، نقش‌ها، محدوده و معیارهای پذیرش.
/docs/architecture.md,Markdown,مستندات فنی,تصمیم‌های معماری، اجزا، مدل داده و جریان دسترسی.
/docs/deployment-guide.md,Markdown,استقرار,راهنمای استقرار، پیکربندی محیط، HTTPS و عملیات پس از انتشار.
/docs/backup-recovery.md,Markdown,عملیات,برنامه پشتیبان‌گیری و مراحل بازیابی آزمایشی.
/docs/admin-guide.md,Markdown,راهنمای کاربر,راهنمای مدیر برای کاربران، گروه‌ها، فایل‌ها و گزارش رخداد.
/docs/CHANGELOG.md,Markdown,مستندات,ثبت خلاصه تغییرات نسخه‌ها و تاریخ اعمال هر تغییر.
/backend/,پوشه کد,بک‌اند,API، منطق کسب‌وکار، کنترل دسترسی و اتصال پایگاه داده.
/backend/app/models/,پوشه کد,داده,مدل‌های کاربران، گروه‌ها، فایل‌ها، مجوزها و رخدادها.
/backend/app/api/,پوشه کد,API,مسیرهای ورود، مدیریت فایل، کاربران، گروه‌ها و گزارش‌ها.
/frontend/,پوشه کد,فرانت‌اند,رابط کاربری کاربر و پنل مدیریت.
/infra/,پوشه پیکربندی,زیرساخت,تنظیمات استقرار، Reverse Proxy و عملیات محیط سرور.
/tests/,پوشه آزمون,کیفیت,آزمون‌های واحد، یکپارچه و سناریوهای پذیرش.
/work/project-workflow.xlsx,Excel / Google Sheet,مدیریت پروژه,دفترکار وضعیت، تسک‌ها، راهنمای فایل، گام‌های پروژه و پالت رنگ.
